3
  
       XFOIL         Version 6.8
  
 Calculated polar for: semi-cubic1200                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha     CL        CD       CDp       CM    Top Xtr Bot Xtr
  ------- -------- --------- --------- -------- ------- -------
 -13.500  -1.1063   0.03771   0.03272  -0.0427  1.0000  0.0182
 -13.000  -1.1025   0.03403   0.02880  -0.0404  1.0000  0.0189
 -12.500  -1.0924   0.03106   0.02556  -0.0375  1.0000  0.0195
 -12.000  -1.0880   0.02749   0.02180  -0.0332  1.0000  0.0203
 -11.500  -1.0738   0.02521   0.01942  -0.0289  1.0000  0.0213
 -11.000  -1.0517   0.02354   0.01764  -0.0247  1.0000  0.0226
 -10.500  -1.0239   0.02219   0.01610  -0.0208  1.0000  0.0242
  -9.000  -0.9578   0.01805   0.01170  -0.0044  1.0000  0.0299
  -8.500  -0.9278   0.01650   0.01007  -0.0004  1.0000  0.0332
  -8.000  -0.8943   0.01569   0.00918   0.0035  1.0000  0.0368
  -7.500  -0.8648   0.01455   0.00800   0.0081  1.0000  0.0418
  -7.000  -0.8305   0.01372   0.00712   0.0118  1.0000  0.0487
  -6.500  -0.7893   0.01293   0.00632   0.0142  0.9998  0.0588
  -6.000  -0.7198   0.01196   0.00542   0.0106  0.9982  0.0807
  -5.500  -0.6487   0.01094   0.00463   0.0067  0.9961  0.1248
  -5.000  -0.5756   0.00995   0.00398   0.0021  0.9942  0.1983
  -3.000  -0.3199   0.00746   0.00285  -0.0064  0.9508  0.5505
  -2.500  -0.2642   0.00703   0.00262  -0.0060  0.9366  0.6159
  -1.500  -0.1580   0.00643   0.00229  -0.0039  0.9015  0.7190
  -1.000  -0.1055   0.00625   0.00218  -0.0026  0.8800  0.7605
  -0.500  -0.0524   0.00615   0.00211  -0.0013  0.8565  0.7963
   0.000   0.0000   0.00611   0.00211   0.0000  0.8275  0.8275
   0.500   0.0523   0.00615   0.00211   0.0013  0.7963  0.8565
   1.000   0.1055   0.00625   0.00218   0.0026  0.7605  0.8800
   1.500   0.1580   0.00643   0.00229   0.0039  0.7190  0.9015
   2.000   0.2104   0.00669   0.00243   0.0052  0.6715  0.9204
   2.500   0.2642   0.00703   0.00262   0.0061  0.6159  0.9366
   3.000   0.3199   0.00746   0.00285   0.0064  0.5505  0.9508
   3.500   0.3861   0.00806   0.00317   0.0041  0.4700  0.9593
   4.000   0.4503   0.00870   0.00349   0.0021  0.3801  0.9683
   4.500   0.5202   0.00952   0.00391  -0.0015  0.2813  0.9745
   5.500   0.6488   0.01094   0.00463  -0.0067  0.1250  0.9961
   6.000   0.7198   0.01196   0.00542  -0.0106  0.0808  0.9982
   6.500   0.7894   0.01293   0.00632  -0.0142  0.0588  0.9998
   7.000   0.8303   0.01372   0.00712  -0.0118  0.0487  1.0000
   7.500   0.8648   0.01455   0.00800  -0.0081  0.0418  1.0000
   8.000   0.8943   0.01569   0.00918  -0.0036  0.0368  1.0000
   8.500   0.9277   0.01649   0.01007   0.0004  0.0332  1.0000
   9.000   0.9575   0.01806   0.01170   0.0045  0.0299  1.0000
  10.500   1.0243   0.02219   0.01610   0.0208  0.0242  1.0000
  11.000   1.0522   0.02354   0.01764   0.0246  0.0226  1.0000
  11.500   1.0744   0.02521   0.01942   0.0288  0.0213  1.0000
  12.000   1.0886   0.02750   0.02180   0.0331  0.0203  1.0000
  12.500   1.0934   0.03106   0.02556   0.0374  0.0195  1.0000
  13.000   1.1037   0.03403   0.02879   0.0403  0.0189  1.0000
  13.25    1.10575  0.035865  0.03075   0.0414                   interpolated
